id,area,bbox_x0,bbox_y0,bbox_w,bbox_h,point_input_x,point_input_y,predicted_iou,stability_score,crop_box_x0,crop_box_y0,crop_box_w,crop_box_h
0,80960,0,30,619,357,455.3125,382.921875,1.0060116052627563,0.9507214426994324,0,0,620,389
1,2068,595,231,24,95,610.3125,249.203125,1.000022530555725,0.9856114983558655,0,0,620,389
2,6545,210,21,396,129,280.9375,127.640625,0.9995218515396118,0.9546805620193481,0,0,620,389
3,3226,230,169,61,68,242.1875,176.265625,0.996882438659668,0.9870530366897583,0,0,620,389
4,6600,210,26,287,124,261.5625,139.796875,0.9965548515319824,0.9614243507385254,0,0,620,389
5,2182,103,138,49,54,145.3125,176.265625,0.9910339117050171,0.9867881536483765,0,0,620,389
6,879,388,22,22,40,397.1875,54.703125,0.9901020526885986,0.9852941036224365,0,0,620,389
7,6921,498,59,121,329,513.4375,322.140625,0.9894756078720093,0.9773898124694824,0,0,620,389
8,1621,109,307,104,28,125.9375,309.984375,0.9876779913902283,0.9767867922782898,0,0,620,389
9,566,576,317,43,26,610.3125,334.296875,0.9875408411026001,0.980701744556427,0,0,620,389
10,7249,0,12,91,129,29.0625,30.390625,0.9847352504730225,0.9701046347618103,0,0,620,389
11,1922,25,130,43,53,29.0625,176.265625,0.9834364652633667,0.9860320687294006,0,0,620,389
12,772,225,322,43,22,261.5625,334.296875,0.9808012843132019,0.9819121360778809,0,0,620,389
13,2715,0,277,126,36,48.4375,285.671875,0.9803694486618042,0.9711889028549194,0,0,620,389
14,195,586,0,11,17,590.9375,6.078125,0.9803301095962524,0.9948979616165161,0,0,620,389
15,2339,357,344,83,31,435.9375,346.453125,0.9800545573234558,0.977627694606781,0,0,620,389
16,274,409,314,34,9,416.5625,322.140625,0.9788028001785278,0.9927272796630859,0,0,620,389
17,220,505,0,11,20,513.4375,18.234375,0.9781633615493774,0.9909502267837524,0,0,620,389
18,157,578,18,14,10,590.9375,18.234375,0.9779238700866699,0.9683544039726257,0,0,620,389
19,281,214,53,19,18,222.8125,54.703125,0.9777833223342896,0.9929328560829163,0,0,620,389
20,869,225,322,42,57,261.5625,334.296875,0.9774627685546875,0.9794050455093384,0,0,620,389
21,365,359,69,19,22,377.8125,79.015625,0.9755887389183044,0.973045825958252,0,0,620,389
22,811,421,24,55,46,455.3125,42.546875,0.9735972881317139,0.977968156337738,0,0,620,389
23,234,386,61,11,21,397.1875,66.859375,0.9732466340065002,0.991525411605835,0,0,620,389
24,2014,0,174,57,52,9.6875,212.734375,0.9730870723724365,0.9755021929740906,0,0,620,389
25,685,175,86,24,32,184.0625,115.484375,0.972537100315094,0.986975371837616,0,0,620,389
